numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status
160,TSITARA,Rojers Osman,Masculin,Toliara II,ATSIMO ANDREFANA,IRMAR,IRMAR,ACTIVE
161,VELONJARA,Théophiline,Feminin,Maintirano,MELAKY,IRMAR,GPIF1,ACTIVE
162,VOLAMAHAZAKA,Felix Boris,Masculin,Vavatenina,ANALANJIROFO,IRMAR,GPIF1,ACTIVE
163,VOLOLOMBOAHANGY,Tsiriniaina Narindra,Feminin,Amparafaravola,ALAOTRA MANGORO,Indépendant,GPIF1,ACTIVE
,AHMAD,Ahmad,Masculin,Mitsinjo,BOENY,Indépendant,,RESIGNED
,ANDRIAMAMPANDRY,Todisoa Manampy,Masculin,,,Firaisankina,,NOMINATED
,RABENIRINA,Jean Jacques,Masculin,Betioky Sud,ATSIMO ANDREFANA,Firaisankina,,DECEASED
,RAHANTANIRINA,Lalao,Feminin,Mahajanga,BOENY,IRMAR,,RESIGNED
,RAHAROARILALA,Tinoka Roberto Michaël,Masculin,Toliara I,ATSIMO ANDREFANA,IRMAR,,RESIGNED
,RAHELIHANTA,Jocelyne,Feminin,Antsiranana I,DIANA,IRMAR,,RESIGNED
,RALAMBOMANANA,Fenoherintsoa,Masculin,,,Firaisankina,,NOMINATED
,RAZAFIMANANTSOA,Lobo Hanitriniaina,Feminin,,,Firaisankina,,NOMINATED
,SOAFILIRA,Princia,Feminin,Analalava,SOFIA,IRMAR,,RESIGNED
,TREMPIER,Michaël,Masculin,Vohibato,HAUTE MATSIATRA,IRMAR,,ACTIVE
,RAZAFINDRAKOTO,Victor,Masculin,Fianarantsoa,HAUTE MATSIATRA,TGV,,RESIGNED
,MALAINKORATSY,Jocelyn,Masculin,Nosy Varika,VATOVAVY,TGV,,ACTIVE
,MANDRINDRARIVONY,Ogascar Fenosoa,Masculin,,,Indépendant,,NOMINATED
,RAMANATANANA,Roméo Christophe,Masculin,Soavinandriana,ITASY,Indépendant,,RESIGNED
