id,titre,date,heure,type_seance,lieu,status,session,is_live
246,TRAVAUX DES COMMISSIONS – (Salle BP),2026-05-11,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
245,TRAVAUX DES COMMISSIONS – (Salle BP),2026-05-08,14:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
244,TRAVAUX DES COMMISSIONS – (Salle BP),2026-05-07,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
243,SEANCE PLENIERE – (Salle des Séances),2026-05-06,10:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
241,Réunion des membres du Bureau Permanent – (Salle BP),2026-05-05,14:00:00,Réunion des membres du Bureau Permanent,Salle BP,PASSEE,,Non
242,Conférence des Présidents – (Salle B.P),2026-05-05,15:00:00,Conférence des Présidents,Salle BP,PASSEE,,Non
240,OUVERTURE DE LA PREMIERE SESSION ORDINAIRE 2026 DE L’ASSEMBLEE NATIONALE,2026-05-05,10:00:00,Autre,Salle des séances,PASSEE,,Non
237,SEANCE PLENIERE –(SalledesSéances),2026-04-21,10:00:00,Séance Plénière,Salle des séances,PASSEE,,Non
236,TRAVAUX DES COMMISSIONS,2026-04-16,09:00:00,Travaux des commissions,Salle BP,PASSEE,,Non
239,TRAVAUX DES COMMISSIONS,2026-04-15,09:00:00,Travaux des commissions,Salle BP,PASSEE,Session extraordinaire 2026,Non
238,TRAVAUX DES COMMISSIONS,2026-04-14,09:00:00,Travaux des commissions,Salle BP,PASSEE,Session extraordinaire 2026,Non
