numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status,photo_url
,RAHAROARILALA,Tinoka Roberto Michaël,Masculin,Toliara I,ATSIMO ANDREFANA,IRMAR,,RESIGNED,
,RAHELIHANTA,Jocelyne,Feminin,Antsiranana I,DIANA,IRMAR,,RESIGNED,
,RALAMBOMANANA,Fenoherintsoa,Masculin,,,Firaisankina,,NOMINATED,
,RAZAFIMANANTSOA,Lobo Hanitriniaina,Feminin,,,Firaisankina,,NOMINATED,
,SOAFILIRA,Princia,Feminin,Analalava,SOFIA,IRMAR,,RESIGNED,
,TREMPIER,Michaël,Masculin,Vohibato,HAUTE MATSIATRA,IRMAR,,ACTIVE,
,RAZAFINDRAKOTO,Victor,Masculin,Fianarantsoa,HAUTE MATSIATRA,TGV,,RESIGNED,
,MALAINKORATSY,Jocelyn,Masculin,Nosy Varika,VATOVAVY,TGV,,ACTIVE,
,MANDRINDRARIVONY,Ogascar Fenosoa,Masculin,,,Indépendant,,NOMINATED,
,RAMANATANANA,Roméo Christophe,Masculin,Soavinandriana,ITASY,Indépendant,,RESIGNED,
